cycle_length,lane1_num_vehicles,lane2_num_vehicles,lane3_num_vehicles,lane4_num_vehicles,ew_waiting_times,ns_waiting_times,time_of_day,flow_ratios,ew_green_time,ns_green_time
120,56,69,7,27,48,63.79485922868126,19,0.9121284860579826,63.79485922868126,78.8369802253449
120,19,42,45,10,17,68.43573666732746,15,0.6658209589621009,68.43573666732746,66.50180772287202
120,65,15,39,62,31,117.21198022121249,23,0.5619824239191,117.21198022121249,116.18433399129407
120,25,14,54,30,36,54.61435095822836,7,0.6545996303630388,54.61435095822836,28.57847884650456
120,28,63,34,16,43,39.34296338823665,14,0.9141514120585907,39.34296338823665,70.88352150643856
120,7,59,74,6,39,120.93280383466688,17,0.3542581363467158,120.93280383466688,104.89494768127774
120,26,24,58,36,21,43.881185967833694,9,0.972527485188367,43.881185967833694,28.50513828905511
120,57,21,55,54,11,78.31734016231292,3,0.7329555039561833,78.31734016231292,77.59018926714894
120,6,72,32,65,55,38.93762586635834,6,0.8842801712987935,38.93762586635834,83.36903949262417
120,34,9,68,15,47,111.96986966861611,23,0.6203254957843489,111.96986966861611,29.779347086802005
120,42,64,25,72,31,76.76986001001195,16,0.3893102977570984,76.76986001001195,111.546515817537
120,6,27,31,38,26,30.490401744407137,7,0.6539474915466028,30.490401744407137,43.395866907672165
120,68,50,31,12,44,269.5464152608566,0,0.25435164310563396,269.5464152608566,210.0555672783785
120,64,56,54,12,51,75.13242700656416,21,0.8817561307809674,75.13242700656416,67.26624498107185
120,25,14,33,19,54,48.554778018442725,20,0.7196632810375279,48.554778018442725,28.828974729722493
120,37,50,43,9,32,67.56652065655942,9,0.42628568489385077,67.56652065655942,68.99818853651446
120,62,32,61,23,38,149.66840530238935,14,0.41957548281802765,149.66840530238935,83.7509842921591
120,26,47,41,13,38,46.35674218685965,22,0.9222448155933167,46.35674218685965,53.280444006474774
120,53,30,68,61,59,80.86680891276836,5,0.872725679463199,80.86680891276836,73.93930138209238
120,63,59,52,58,28,48.0537810261566,9,0.8104869379128246,48.0537810261566,43.596723542102545
120,46,52,26,33,26,87.7932315861677,0,0.5318335221892261,87.7932315861677,102.16461902454145
120,64,33,34,23,17,72.11916491251004,5,0.8980040677979928,72.11916491251004,40.3541214036385
120,19,31,32,50,59,83.45069445337312,12,0.39751209871282234,83.45069445337312,129.95486980606412
120,66,22,27,66,16,301.61612199392147,2,0.21940313425532976,301.61612199392147,315.89692809361753
120,66,64,8,64,20,121.83132682590558,11,0.5462159667839546,121.83132682590558,123.26133780884008
120,51,73,7,9,12,55.109295717367274,14,0.9356202337384232,55.109295717367274,80.77857434209996
120,66,25,65,37,11,101.00943261631791,21,0.6569816121903861,101.00943261631791,61.36863840056988
120,55,28,8,59,28,144.79773348069472,6,0.3835486005600257,144.79773348069472,161.0665462260527
120,59,7,69,23,37,97.59595953866604,5,0.7206570421609806,97.59595953866604,36.795117823155316
120,68,66,16,21,37,51.97169617268262,8,0.7959885479424409,51.97169617268262,52.47183739844546
120,7,6,17,46,34,28.251287798704066,15,0.6402702621765016,28.251287798704066,73.25722549231091
120,55,70,38,26,20,63.92341603443119,11,0.8740784189133095,63.92341603443119,83.28051848190671
120,11,46,63,43,49,56.962031160417915,8,0.6738980735338701,56.962031160417915,44.3108997397241
120,25,38,35,31,52,82.43765308375501,7,0.2768164709713002,82.43765308375501,86.4238933169164
120,43,46,17,50,11,51.27931847447512,4,0.8476360671321814,51.27931847447512,61.55154554520645
120,22,24,58,32,21,183.96627581525297,2,0.3170849599987511,183.96627581525297,110.11763837848842
120,8,72,6,56,50,11.328033030085022,3,0.9062041309470443,11.328033030085022,80.01869892226945
120,64,49,37,69,47,105.9977507927297,10,0.6174760138112831,105.9977507927297,117.04511886304819
120,18,46,54,43,21,49.64336261650133,9,0.7854933820984935,49.64336261650133,40.38204120683222
120,13,51,11,22,59,10.438244569434087,7,0.9776759294604211,10.438244569434087,31.129395865662154
120,57,9,22,26,34,60.95805609022047,8,0.5455545148708355,60.95805609022047,29.766120578848785
120,6,53,55,72,46,99.168936166135,12,0.5677774751822637,99.168936166135,131.76869051670167
120,64,41,12,15,40,76.36009348174306,23,0.8606767017541919,76.36009348174306,51.454939560828805
120,48,38,59,68,26,129.7689518681808,18,0.28819020436788245,129.7689518681808,175.25843532524524
120,12,74,47,61,57,214.41007680538166,22,0.22215911768285201,214.41007680538166,343.8150928529977
120,51,22,63,39,21,93.2289479513901,10,0.6834532330876959,93.2289479513901,61.724605653191944
120,39,23,34,41,39,118.71093528567263,23,0.33401582391046136,118.71093528567263,128.6842223210164
120,40,44,63,54,11,156.2629670647496,2,0.4045905821947566,156.2629670647496,141.28140583730857
120,54,21,13,34,25,56.294528543464416,0,0.9810239351466217,56.294528543464416,37.4723925471323
120,8,64,72,21,10,100.15143618206713,22,0.7225184378522467,100.15143618206713,93.58662619316303
120,6,46,43,37,43,50.75898371101832,13,0.8846101423480919,50.75898371101832,54.538257341524
120,10,69,15,20,54,12.47879718755632,18,0.9182328367336869,12.47879718755632,58.264745370591264
120,58,57,6,19,57,198.08359368558345,0,0.29708002042623294,198.08359368558345,201.77167692700772
120,8,11,27,17,10,29.155666693753382,22,0.9422220145338898,29.155666693753382,19.500240141865724
120,58,9,67,7,45,77.25990666897627,11,0.8932153494827753,77.25990666897627,13.938952945699357
120,67,28,26,28,12,284.1689460728208,13,0.23627410874106902,284.1689460728208,132.71487252810346
120,22,32,65,27,43,68.3572160035707,14,0.98176609625897,68.3572160035707,36.01218252501334
120,48,66,30,63,21,85.75784156621852,6,0.566653560195806,85.75784156621852,120.76117423186139
120,38,21,16,59,54,41.49171049793737,3,0.9795907298808217,41.49171049793737,62.30382024537857
120,66,24,36,69,36,78.62605378014969,13,0.8590835628349438,78.62605378014969,84.24944982280034
120,18,7,13,36,59,27.19740754213199,17,0.5521073576686562,27.19740754213199,46.544987946054015
120,52,41,73,64,46,122.12024733167137,15,0.6092459465379885,122.12024733167137,111.15390043818586
120,19,19,37,34,34,89.77887858019714,13,0.4200780095799124,89.77887858019714,85.42629181351535
120,66,55,28,70,21,113.00248029076793,20,0.5895358443920302,113.00248029076793,124.38760311080742
120,44,52,73,22,42,257.3502005979778,10,0.28599389864917635,257.3502005979778,194.68957072982826
120,57,12,42,63,18,62.394773494117054,5,0.9269080404931151,62.394773494117054,71.08764622083525
120,28,17,15,57,10,36.8367529055108,14,0.7705696783862475,36.8367529055108,75.81308463149395
120,30,52,36,68,59,35.56385599237629,9,0.8441653791241324,35.56385599237629,50.84567422518399
120,64,7,68,34,32,110.41779913796468,11,0.6248977698380591,110.41779913796468,59.92978952588058
120,45,69,24,22,37,89.50881840773752,8,0.30050710553034676,89.50881840773752,141.4031199027873
120,33,35,38,9,12,44.569721571605065,16,0.6297957212565262,44.569721571605065,34.8813170654112
120,19,30,46,73,47,60.261084852289606,17,0.46336500706123585,60.261084852289606,119.86196160912769
120,49,60,12,12,45,237.73109827776983,10,0.20808464186030068,237.73109827776983,300.2307568866679
120,69,38,70,13,53,103.80188377686825,5,0.6920286344287325,103.80188377686825,60.10111681057189
120,13,13,25,36,53,20.96281508132835,18,0.8829193793921901,20.96281508132835,25.84879324674198
120,5,66,74,18,14,96.99878900001566,1,0.7684416467582782,96.99878900001566,90.73804855812286
120,12,17,9,17,38,33.5768195707748,21,0.37882591000616933,33.5768195707748,46.55433537046971
120,67,73,71,22,22,84.11117216799101,22,0.8553065586920781,84.11117216799101,89.55507365436215
120,15,45,47,72,53,107.65456513520921,19,0.447599587117764,107.65456513520921,166.24078548516607
120,12,5,20,26,13,54.013450556036865,12,0.37478835779178177,54.013450556036865,72.07315825064977
120,39,51,39,24,15,27.52451789138664,8,0.96891343047834,27.52451789138664,31.546629025354584
120,39,8,47,19,47,222.71992054925892,11,0.2132777462679811,222.71992054925892,100.22170858992932
120,37,67,43,11,15,129.471199020706,15,0.3340553096703446,129.471199020706,207.03914912283304
120,9,56,14,34,20,16.599944400657893,18,0.573600826304472,16.599944400657893,72.56003123025214
120,45,14,24,9,36,136.66970316154627,1,0.33365536473450397,136.66970316154627,48.79294836389171
120,32,32,5,5,55,98.70328936676968,15,0.3334956019869618,98.70328936676968,100.88845383510817
120,11,10,10,64,44,17.74817239291662,4,0.7074786490669052,17.74817239291662,91.34950254206979
120,16,31,57,35,49,45.03144010624767,16,0.855224097364202,45.03144010624767,28.011274258950298
120,38,16,50,24,13,69.2094599122557,5,0.729293959783105,69.2094599122557,36.369013753495516
120,37,66,70,68,36,250.7669967954308,23,0.28116176401291065,250.7669967954308,254.39200386961863
120,52,56,42,68,25,57.99980063423063,6,0.9163027784917781,57.99980063423063,77.11126778416696
120,27,52,37,33,27,40.787293009010725,5,0.9381982681099881,40.787293009010725,57.464749419871005
120,66,71,71,14,16,167.93667482057978,2,0.4248020374715369,167.93667482057978,175.53350856160876
120,41,50,39,33,20,64.81421967674922,20,0.6424900313391813,64.81421967674922,81.0629301018243
120,48,19,49,35,17,84.15651464542246,14,0.5881892935811648,84.15651464542246,63.712479050430034
120,39,40,26,34,15,53.84157834750412,15,0.7345797810856272,53.84157834750412,57.1449797866102
120,69,18,72,29,57,44.09970926695681,16,0.9823571298027669,44.09970926695681,21.74234263687634
120,51,7,21,62,14,30.22265748562909,8,0.989104276992048,30.22265748562909,44.44511632416374
120,7,71,9,61,15,10.460250297703542,8,0.6073154607657332,10.460250297703542,71.9112747264679
120,5,23,61,67,47,130.30047079298103,16,0.2735597299832529,130.30047079298103,151.69024094225267
120,9,58,44,41,11,94.65194232365765,6,0.46757802138307414,94.65194232365765,128.7760665428225
120,18,73,34,62,40,66.0478392784755,1,0.5308531932228095,66.0478392784755,140.81687041476823
120,31,14,46,32,48,75.68263456733716,5,0.6277066902900716,75.68263456733716,54.7633557752101
120,13,37,11,31,41,11.794752737240898,9,0.9682962965487205,11.794752737240898,27.945199987149923
120,19,17,23,74,18,42.95549356847691,16,0.4099340241985207,42.95549356847691,114.21857082336471
120,46,55,45,41,24,74.29126438145015,13,0.6293501745972581,74.29126438145015,91.10629237080637
120,55,36,38,10,30,128.56826822327915,2,0.43283819610539,128.56826822327915,89.60037079367396
120,67,28,26,66,55,74.36413529016868,15,0.9355694895780984,74.36413529016868,74.26347436377908
120,56,39,56,37,37,58.303538881084755,15,0.9919661567711442,58.303538881084755,42.231034379095405
120,8,74,10,44,54,13.853352410987647,4,0.8965914131923753,13.853352410987647,83.22747546185796
120,27,44,29,45,36,63.37179542012451,15,0.47099487358007847,63.37179542012451,98.71103094016495
120,19,58,70,46,14,166.45610606315753,22,0.4223072178911353,166.45610606315753,145.66357889834555
120,47,48,14,13,26,87.54858306133296,4,0.5449364885980496,87.54858306133296,92.46108844974711
120,33,66,30,22,46,43.650230408763214,23,0.798060849329788,43.650230408763214,84.88297233796459
120,40,72,9,19,33,194.46531592604526,4,0.20745239976341967,194.46531592604526,356.7908344631837
120,17,37,72,8,40,74.28270296432,5,0.9960889264965707,74.28270296432,40.859413060436005
120,36,60,54,38,44,41.37645817805305,17,0.9067290887258441,41.37645817805305,40.14421515822897
120,63,40,21,66,50,290.10238537783323,11,0.21905242516411924,290.10238537783323,315.8028563313836
120,32,58,15,42,50,65.7811111825081,20,0.5056801216354954,65.7811111825081,117.98606957742133
120,70,23,57,27,13,93.95008779020417,6,0.7502672468797988,93.95008779020417,40.684681108588954
120,46,47,54,24,29,77.98683968709089,16,0.39312469323593435,77.98683968709089,72.63757330071698
120,49,16,12,60,52,120.42289649987991,9,0.31427097351334327,120.42289649987991,113.75179990709877
120,66,15,66,57,26,70.72142284810369,8,0.7034547285255781,70.72142284810369,56.718360624674006
120,61,74,33,6,55,48.379392045926096,8,0.9228203611670087,48.379392045926096,60.601850124238695
120,10,16,48,25,19,50.71802615150968,23,0.9644746579635839,50.71802615150968,28.456748261486773
120,32,45,49,46,46,237.63859180762836,10,0.20821064502694836,237.63859180762836,232.8120361852978
120,32,29,33,61,30,38.184361461333204,13,0.8995658827204429,38.184361461333204,69.71970441068257
120,48,7,63,53,30,98.630139787818,4,0.6486143244272506,98.630139787818,86.64416427120604
120,34,7,19,14,58,90.04296777727555,6,0.390163439084367,90.04296777727555,40.38454688538901
120,66,32,74,65,25,78.25290213808051,16,0.6935549661892582,78.25290213808051,67.54151387401373
120,66,27,48,25,42,68.32310471562407,22,0.9966310139552934,68.32310471562407,30.507425346718325
120,5,52,40,64,19,73.33981807990617,8,0.42093787091769563,73.33981807990617,117.7840965384363
120,31,71,61,17,53,89.97973289762172,18,0.42151061536144,89.97973289762172,108.91909577083848
120,66,46,68,52,27,90.92339721938242,20,0.7591539688224056,90.92339721938242,73.04347361696743
120,7,44,42,44,42,181.154045791645,12,0.2345660485598466,181.154045791645,196.63813121416268
120,74,10,21,67,38,65.918494016292,8,0.8564377746104661,65.918494016292,54.89363791199298
120,31,24,31,13,40,44.93491215200762,12,0.7220231379593134,44.93491215200762,35.48667759625145
120,13,15,21,61,33,25.706277445037266,13,0.8729530181043132,25.706277445037266,71.16307216497917
120,66,31,67,55,21,109.66991908443032,7,0.38459206185650596,109.66991908443032,111.50838204514075
120,41,25,15,44,29,48.16022296049842,13,0.8777521793178464,48.16022296049842,52.53605530075494
120,55,17,68,68,15,122.41956086337517,12,0.5588908147400842,122.41956086337517,127.79053890654393
120,48,39,43,74,17,157.62166043747973,22,0.30617778663601203,157.62166043747973,249.57072619632194
120,28,51,6,68,23,18.16971314200268,9,0.9211380772814635,18.16971314200268,43.72226482942011
120,63,32,70,29,14,92.32177525479554,21,0.7640105183001915,92.32177525479554,46.50032887921773
120,36,25,58,32,45,175.5767425175125,1,0.33462810849364355,175.5767425175125,104.4073847217446
120,56,22,33,14,57,143.83551819683757,11,0.39720391651726494,143.83551819683757,62.578943772885204
120,66,35,49,32,47,161.35134385957616,15,0.41509083129692687,161.35134385957616,92.38646166396619
120,62,64,35,40,12,64.47358142028496,6,0.9706673498084146,64.47358142028496,69.15769860163098
120,56,41,53,15,45,63.860109976166584,1,0.9089417308565622,63.860109976166584,48.30040744564457
120,16,25,13,25,31,35.087625991004856,15,0.47707610563405317,35.087625991004856,54.15692191049533
120,43,18,31,30,17,75.85310998199857,21,0.5733095602345074,75.85310998199857,56.12040664933151
120,6,64,60,22,23,141.26360768277613,5,0.4282239319384513,141.26360768277613,156.5176952457667
120,7,27,49,72,16,62.50360429812649,15,0.7941189263961326,62.50360429812649,93.79170081623504
120,60,33,47,45,13,183.0389376360356,12,0.3289673199354469,183.0389376360356,145.94365010882848
120,63,51,26,19,28,96.04247128803217,9,0.47089142197530687,96.04247128803217,74.2538501112406
120,6,34,37,27,52,56.62378055459256,19,0.6848835757173724,56.62378055459256,52.474663050868735
